Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population
261,Colorado,Cities,Fort Collins,5,4,0,1,0,0,0,5,2,2,0,1,"168,163"
262,Colorado,Cities,Golden,1,0,0,1,0,0,0,1,0,0,0,1,"20,768"
263,Colorado,Cities,Grand Junction,2,2,0,0,0,0,0,2,1,1,0,0,"62,974"
264,Colorado,Cities,Lafayette,2,1,0,1,0,0,0,2,1,1,0,0,"28,914"
265,Colorado,Cities,Lone Tree,1,1,0,0,0,0,0,1,0,0,1,0,"13,933"
266,Colorado,Cities,Longmont,2,2,0,0,0,0,0,2,0,1,0,1,"95,217"
267,Colorado,Cities,Louisville,1,1,0,0,0,0,0,1,0,0,0,1,"21,545"
268,Colorado,Cities,Rifle,2,2,0,0,0,0,0,2,0,1,1,0,"9,711"
269,Colorado,Cities,Silverthorne,1,0,1,0,0,0,0,1,0,0,1,0,"4,775"
270,Colorado,Cities,Sterling,1,1,0,0,0,0,0,1,0,0,0,1,"13,928"
271,Colorado,Cities,Trinidad,1,1,0,0,0,0,0,1,1,0,0,0,"7,947"
272,Colorado,Cities,Woodland Park,1,1,0,0,0,0,0,1,0,1,0,0,"7,709"
273,Colorado,Universities and Colleges,Auraria Higher Education Center4,1,1,0,0,0,0,0,1,0,0,1,0,
274,Colorado,Universities and Colleges,"Colorado State University, Fort Collins",3,1,2,0,0,0,0,3,0,3,0,0,"36,966"
275,Colorado,Universities and Colleges,University of Colorado: Boulder,2,0,0,2,0,0,0,2,0,0,2,0,"37,921"
276,Colorado,Universities and Colleges,University of Colorado: Colorado Springs,2,0,0,2,0,0,0,2,0,0,2,0,"16,743"
277,Colorado,Metropolitan Counties,Adams,1,1,0,0,0,0,0,1,1,0,0,0,
278,Colorado,Metropolitan Counties,Arapahoe,7,5,1,1,0,0,0,7,1,1,0,5,
279,Colorado,Metropolitan Counties,Boulder,1,1,0,0,0,0,0,1,0,0,1,0,
280,Colorado,Metropolitan Counties,El Paso,3,2,1,0,0,0,0,3,1,2,0,0,
281,Colorado,Metropolitan Counties,Jefferson,4,3,0,0,1,0,0,4,1,2,1,0,
282,Colorado,Metropolitan Counties,Larimer,5,4,0,1,0,0,0,5,2,1,1,1,
283,Colorado,Metropolitan Counties,Mesa,1,0,0,1,0,0,0,1,0,0,1,0,
284,Colorado,Nonmetropolitan Counties,Archuleta,1,0,0,1,0,0,0,1,0,0,0,1,
285,Colorado,Nonmetropolitan Counties,Custer,1,0,0,1,0,0,0,1,0,1,0,0,
286,Colorado,Nonmetropolitan Counties,Logan,1,0,1,0,0,0,0,1,0,0,1,0,
287,Colorado,Nonmetropolitan Counties,Montezuma,1,1,0,0,0,0,0,1,0,0,1,0,
288,Colorado,Nonmetropolitan Counties,Summit,4,3,1,0,0,0,0,4,2,1,0,1,
289,Colorado,Nonmetropolitan Counties,Washington,1,1,0,0,0,0,0,1,0,0,1,0,
290,Connecticut,Cities,Berlin,1,1,0,0,0,0,0,1,0,1,0,0,"20,593"
291,Connecticut,Cities,Bethel,1,0,0,0,1,0,0,1,0,0,0,1,"19,974"
292,Connecticut,Cities,Bridgeport,4,4,0,0,0,0,0,4,,1,1,2,"146,819"
293,Connecticut,Cities,Bristol,1,1,0,0,0,0,0,1,0,0,0,1,"60,184"
294,Connecticut,Cities,Danbury,3,2,0,1,0,0,0,3,2,0,1,0,"85,818"
295,Connecticut,Cities,East Hartford,1,1,0,0,0,0,0,1,0,1,0,0,"50,184"
296,Connecticut,Cities,Fairfield,2,1,1,0,0,0,0,2,0,0,1,1,"62,452"
297,Connecticut,Cities,Glastonbury,4,2,1,1,0,0,0,4,0,2,1,1,"34,593"
298,Connecticut,Cities,Groton,1,0,1,0,0,0,0,1,0,0,1,0,"9,051"
299,Connecticut,Cities,Guilford,1,1,0,0,0,0,0,1,0,0,0,1,"22,268"
300,Connecticut,Cities,Middletown,4,4,0,0,0,0,0,4,0,1,1,2,"46,314"
301,Connecticut,Cities,New Haven,7,5,2,0,0,0,0,7,1,2,3,1,"131,181"
302,Connecticut,Cities,New Milford,1,1,0,0,0,0,0,1,0,0,1,0,"26,956"
303,Connecticut,Cities,Norwalk,2,1,1,0,0,0,0,2,0,0,0,2,"89,442"
304,Connecticut,Cities,Norwich,7,6,0,0,0,1,0,7,2,0,4,1,"39,318"
305,Connecticut,Cities,Old Saybrook,5,5,0,0,0,0,0,5,2,2,0,1,"10,117"
306,Connecticut,Cities,Orange,1,1,0,0,0,0,0,1,0,0,0,1,"14,002"
307,Connecticut,Cities,Putnam,1,1,0,0,0,0,0,1,0,1,0,0,"9,325"
308,Connecticut,Cities,Ridgefield,1,1,0,0,0,0,0,1,0,1,0,0,"25,260"
309,Connecticut,Cities,Rocky Hill,2,1,1,0,0,0,0,2,0,1,0,1,"20,163"
310,Connecticut,Cities,Southington,2,1,0,1,0,0,0,2,0,0,2,0,"43,960"
311,Connecticut,Cities,South Windsor,1,0,0,1,0,0,0,1,0,1,0,0,"25,968"
312,Connecticut,Cities,Stamford,8,4,2,2,0,0,0,8,1,1,2,4,"132,007"
313,Connecticut,Cities,Stratford,1,1,0,0,0,0,0,1,0,1,0,0,"52,472"
314,Connecticut,Cities,Torrington,3,2,0,1,0,0,0,3,1,0,0,2,"34,286"
315,Connecticut,Cities,Trumbull,1,0,1,0,0,0,0,1,0,0,0,1,"36,167"
316,Connecticut,Cities,Vernon,1,0,0,1,0,0,0,1,0,0,0,1,"29,304"
317,Connecticut,Cities,Waterbury,2,2,0,0,0,0,0,2,0,2,0,0,"108,378"
318,Connecticut,Cities,Willimantic,1,0,0,1,0,0,0,1,0,1,0,0,"17,691"
319,Connecticut,Cities,Windsor,1,1,0,0,0,0,0,1,0,1,0,0,"28,867"
320,Connecticut,Cities,Woodbridge,1,1,0,0,0,0,0,1,0,1,0,0,"8,832"
321,Connecticut,Universities and Colleges,Southern Connecticut State University,1,1,0,0,0,0,0,1,0,0,1,0,"11,978"
322,Connecticut,State Police Agencies,Connecticut State Police,7,1,3,3,0,0,0,7,4,0,2,1,
323,Connecticut,Tribal Agencies,Mashantucket Pequot Tribal,1,1,0,0,0,0,0,1,0,0,1,0,
324,Delaware,Cities,Dover,1,1,0,0,0,0,0,1,0,1,0,0,"37,778"
325,Delaware,Cities,Felton,1,1,0,0,0,0,0,1,0,0,1,0,"1,414"
326,Delaware,Cities,Newark,1,1,0,0,0,0,0,1,0,1,0,0,"34,207"
327,Delaware,Cities,Seaford,1,1,0,0,0,0,0,1,1,0,0,0,"7,876"
328,Delaware,Cities,Wilmington,1,1,0,0,0,0,0,1,0,1,0,0,"71,157"
329,Delaware,Universities and Colleges,Delaware State University,1,1,0,0,0,0,0,1,1,0,0,0,"5,162"
330,Delaware,Universities and Colleges,University of Delaware,3,3,0,0,0,0,0,3,1,0,1,1,"24,855"
331,Delaware,Metropolitan Counties,New Castle County Police Department,5,3,0,2,0,0,0,5,1,2,0,2,
332,Delaware,State Police Agencies,State Police: Kent County,1,1,0,0,0,0,0,1,0,0,0,1,
333,Delaware,State Police Agencies,State Police: New Castle County,1,0,1,0,0,0,0,1,1,0,0,0,
334,District of Columbia,Cities,Washington,194,88,12,60,0,1,33,194,32,49,58,55,"702,455"
335,District of Columbia,Other Agencies,Metro Transit Police,19,11,0,8,0,0,0,19,2,5,6,6,
336,Florida,Cities,Boca Raton,2,1,1,0,0,0,0,2,2,0,0,0,"100,162"
337,Florida,Cities,Cape Coral,1,1,0,0,0,0,0,1,0,0,0,1,"187,869"
338,Florida,Cities,Coral Gables,1,0,1,0,0,0,0,1,0,1,0,0,"51,716"
339,Florida,Cities,Davie,3,2,1,0,0,0,0,3,0,2,1,,"107,120"
340,Florida,Cities,Deerfield Beach,2,0,1,1,0,0,0,2,,1,0,1,"81,371"
341,Florida,Cities,Fort Lauderdale,5,3,0,2,0,0,0,5,0,5,0,0,"182,150"
342,Florida,Cities,Fort Myers,1,0,0,1,0,0,0,1,0,1,0,0,"82,805"
343,Florida,Cities,Gainesville,3,1,2,0,0,0,0,3,1,0,1,1,"133,400"
344,Florida,Cities,Groveland,1,1,0,0,0,0,0,1,0,0,,1,"14,342"
345,Florida,Cities,Jacksonville,4,4,0,0,0,0,0,4,1,1,2,0,"903,213"
346,Florida,Cities,Key West,1,0,0,1,0,0,0,1,0,0,1,0,"25,286"
347,Florida,Cities,Largo,1,1,0,0,0,0,0,1,0,0,0,1,"85,568"
348,Florida,Cities,Lauderdale Lakes,3,3,0,0,0,0,0,3,1,0,1,1,"36,575"
349,Florida,Cities,Miami,10,3,1,4,0,0,2,10,3,1,3,3,"473,047"
350,Florida,Cities,Miami Beach,20,1,11,7,0,0,1,20,5,4,7,4,"92,928"
351,Florida,Cities,Minneola,1,1,0,0,0,0,0,1,1,0,0,0,"11,859"
352,Florida,Cities,North Miami,1,0,0,1,0,0,0,1,1,0,0,0,"62,585"
353,Florida,Cities,Ocala,1,1,0,0,0,0,0,1,0,1,0,0,"59,505"
354,Florida,Cities,Orlando,4,2,0,2,0,0,0,4,1,0,2,1,"286,679"
355,Florida,Cities,Palm Bay,6,6,0,0,0,0,0,6,1,0,3,2,"112,902"
356,Florida,Cities,Parkland,1,0,1,0,0,0,0,1,0,0,1,0,"33,760"
357,Florida,Cities,Pembroke Pines,1,0,1,0,0,0,0,1,0,1,0,0,"173,053"
358,Florida,Cities,Pompano Beach,3,0,0,2,0,0,1,3,0,0,3,0,"112,045"
359,Florida,Cities,Port St. Lucie,3,1,0,2,0,0,0,3,0,0,0,3,"193,137"
360,Florida,Cities,Sebastian,1,0,0,1,0,0,0,1,0,0,0,1,"25,672"
361,Florida,Cities,Sunrise,2,2,0,0,0,0,0,2,0,1,1,0,"95,812"
362,Florida,Cities,Tallahassee,1,1,0,0,0,0,0,1,0,1,0,0,"192,443"
363,Florida,Cities,Tampa,2,1,1,0,0,0,0,2,0,0,0,2,"392,945"
364,Florida,Cities,Temple Terrace,2,2,0,0,0,0,0,2,1,0,1,0,"26,777"
365,Florida,Cities,Weston,1,0,1,0,0,0,0,1,0,0,1,0,"71,744"
366,Florida,Cities,West Palm Beach,2,1,0,1,0,0,0,2,0,0,2,0,"111,659"
367,Florida,Cities,Wilton Manors,1,0,0,1,0,0,0,1,0,0,1,0,"12,941"
368,Florida,Universities and Colleges,Pensacola State College,3,3,0,0,0,0,0,3,2,0,1,0,"13,602"
369,Florida,Metropolitan Counties,Alachua,1,0,0,0,0,0,1,1,0,0,1,0,
370,Florida,Metropolitan Counties,Bay,1,0,0,1,0,0,0,1,0,1,0,0,
371,Florida,Metropolitan Counties,Brevard,1,1,0,0,0,0,0,1,0,1,0,0,
372,Florida,Metropolitan Counties,Broward,3,3,0,0,0,0,0,3,0,0,2,1,
373,Florida,Metropolitan Counties,Clay,2,1,0,1,0,0,0,2,0,0,0,2,
374,Florida,Metropolitan Counties,Collier,1,0,1,0,0,0,0,1,0,0,0,1,
375,Florida,Metropolitan Counties,Flagler,1,1,0,0,0,0,0,1,0,0,0,1,
376,Florida,Metropolitan Counties,Lake,2,2,0,0,0,0,0,2,0,0,1,1,
377,Florida,Metropolitan Counties,Lee,6,5,0,1,0,0,0,6,1,2,1,2,
378,Florida,Metropolitan Counties,Leon,1,0,1,0,0,0,0,1,1,0,0,0,
379,Florida,Metropolitan Counties,Manatee,1,1,0,0,0,0,0,1,0,0,1,0,
380,Florida,Metropolitan Counties,Martin,2,1,1,0,0,0,0,2,1,1,0,0,
381,Florida,Metropolitan Counties,Miami-Dade,6,2,2,1,1,0,0,6,2,3,0,1,
382,Florida,Metropolitan Counties,Orange,7,4,1,2,0,0,0,7,1,2,4,0,
383,Florida,Metropolitan Counties,Palm Beach,1,0,1,0,0,0,0,1,0,1,0,0,
384,Florida,Metropolitan Counties,Pinellas,1,1,0,0,0,0,0,1,0,0,0,1,
385,Florida,Metropolitan Counties,Polk,2,1,0,1,0,0,0,2,0,1,0,1,
386,Florida,Metropolitan Counties,Seminole,2,2,0,0,0,0,0,2,0,0,2,0,
387,Florida,Metropolitan Counties,St. Johns,2,1,0,1,0,0,0,2,0,1,1,0,
388,Florida,Metropolitan Counties,Sumter,2,1,0,1,0,0,0,2,1,0,1,0,
389,Florida,Metropolitan Counties,Volusia,2,2,0,0,0,0,0,2,1,0,0,1,
390,Georgia,Cities,Atlanta,2,1,1,0,0,0,0,2,0,2,0,0,"461,405"
391,Georgia,Cities,Columbus,6,4,1,1,0,0,0,6,4,1,,1,"194,135"
392,Georgia,Cities,Conyers,1,1,0,0,0,0,0,1,0,0,1,0,"16,128"
393,Georgia,Cities,Woodstock,2,2,0,0,0,0,0,2,1,1,0,0,"32,850"
394,Georgia,Universities and Colleges,University of Georgia,1,1,0,0,0,0,0,1,0,0,1,0,"40,462"
395,Georgia,Metropolitan Counties,Chatham County Police Department,1,1,0,0,0,0,0,1,0,0,1,0,
396,Georgia,Metropolitan Counties,Cobb County Police Department,17,14,2,1,0,0,0,17,4,7,2,4,
397,Georgia,Metropolitan Counties,Gwinnett County Police Department,4,3,0,1,0,0,0,4,0,2,2,0,
398,Georgia,Metropolitan Counties,Henry County Police Department,1,1,0,0,0,0,0,1,0,0,0,1,
399,Hawaii,Cities,Honolulu,44,33,1,10,0,0,0,44,4,10,12,18,"982,019"
400,Idaho,Cities,Boise,4,3,1,0,0,0,0,4,0,1,1,2,"229,265"
401,Idaho,Cities,Chubbuck,1,1,0,0,0,0,0,1,1,0,0,0,"14,998"
402,Idaho,Cities,Coeur d'Alene,3,2,0,1,0,0,0,3,0,1,1,1,"51,650"
403,Idaho,Cities,Filer,1,1,0,0,0,0,0,1,1,0,0,0,"2,813"
404,Idaho,Cities,Idaho Falls,2,1,1,0,0,0,0,2,1,0,1,0,"61,643"
405,Idaho,Cities,Jerome,1,1,0,0,0,0,0,1,0,0,0,1,"11,738"
406,Idaho,Cities,Ketchum,1,1,0,0,0,0,0,1,0,0,0,1,"2,771"
407,Idaho,Cities,Lewiston,2,2,0,0,0,0,0,2,0,0,1,1,"32,949"
408,Idaho,Cities,Meridian,1,0,0,1,0,0,0,1,0,0,0,1,"103,774"
409,Idaho,Cities,Nampa,2,2,0,0,0,0,0,2,1,0,1,0,"95,386"
410,Idaho,Cities,Pocatello,1,0,1,0,0,0,0,1,0,0,0,1,"55,304"
411,Idaho,Cities,Twin Falls,3,0,3,0,0,0,0,3,0,0,1,2,"49,908"
412,Idaho,Nonmetropolitan Counties,Cassia,1,1,0,0,0,0,0,1,0,1,0,,
413,Illinois,Cities,Addison,1,1,0,0,0,0,0,1,0,1,0,0,"36,791"
414,Illinois,Cities,Aurora,1,1,0,0,0,0,0,1,0,0,0,1,"133,546"
415,Illinois,Cities,Bartlett,1,1,0,0,0,0,0,1,0,0,0,1,"24,369"
416,Illinois,Cities,Calumet City,1,1,0,0,0,0,0,1,1,0,0,0,"36,560"
417,Illinois,Cities,Champaign,1,0,0,1,0,0,0,1,0,0,1,0,"88,326"
418,Illinois,Cities,Chicago,62,36,10,13,0,0,3,62,11,21,20,10,"2,719,151"
419,Illinois,Cities,Crete,1,1,0,0,0,0,0,1,0,1,0,0,"8,147"
420,Illinois,Cities,DeKalb,3,3,0,0,0,0,0,3,1,1,1,0,"43,064"
421,Illinois,Cities,East Peoria,1,1,0,0,0,0,0,1,0,0,1,0,"22,640"
422,Illinois,Cities,Elgin,2,0,1,1,0,0,0,2,0,0,1,1,"87,989"
423,Illinois,Cities,Evanston,1,0,0,1,0,0,0,1,0,0,1,0,"74,780"
424,Illinois,Cities,Galesburg,2,2,0,0,0,0,0,2,0,1,0,1,"30,573"
425,Illinois,Cities,Harwood Heights,1,1,0,0,0,0,0,1,0,1,0,0,"8,490"
426,Illinois,Cities,Herscher,1,1,0,0,0,0,0,1,0,0,1,0,"1,515"
427,Illinois,Cities,Joliet,3,0,3,0,0,0,0,3,0,0,0,3,"137,970"
428,Illinois,Cities,Marengo,1,0,0,1,0,0,0,1,0,0,1,0,"7,470"
429,Illinois,Cities,Normal,2,2,0,0,0,0,0,2,0,0,1,1,"54,525"
430,Illinois,Cities,Orland Park,4,0,4,0,0,0,0,4,0,1,1,2,"58,873"
431,Illinois,Cities,Peoria,2,1,0,0,0,0,1,2,1,1,0,0,"112,595"
432,Illinois,Cities,Plainfield,2,1,0,0,0,0,1,2,2,0,0,0,"42,281"
433,Illinois,Cities,Quincy,1,1,0,0,0,0,0,1,0,1,0,0,"40,249"
434,Illinois,Cities,Rockford3,5,3,0,2,0,0,0,4,0,2,1,1,"146,196"
435,Illinois,Cities,Rolling Meadows,1,0,1,0,0,0,0,1,0,1,0,0,"23,970"
436,Illinois,Cities,Romeoville,1,1,0,0,0,0,0,1,0,0,1,,"39,625"
437,Illinois,Cities,Skokie,1,0,1,0,0,0,0,1,0,1,0,0,"63,849"
438,Illinois,Cities,Watseka,1,0,0,0,0,0,1,1,0,0,1,,"4,868"
439,Illinois,Cities,Willow Springs,1,1,0,0,0,0,0,1,0,1,0,0,"5,639"
440,Illinois,Universities and Colleges,Western Illinois University,1,0,0,1,0,0,0,1,1,0,0,,"11,951"
441,Illinois,Metropolitan Counties,Kankakee,1,1,0,0,0,0,0,1,0,0,1,0,
442,Illinois,Metropolitan Counties,Will,1,1,0,0,0,0,0,1,1,0,0,0,
443,Illinois,Nonmetropolitan Counties,Perry,1,1,0,0,0,0,0,1,1,0,0,0,
444,Indiana,Cities,Bloomington,7,6,1,0,0,0,0,7,1,3,1,2,"85,730"
445,Indiana,Cities,Columbus,2,2,0,0,0,0,0,2,,2,,,"47,595"
446,Indiana,Cities,Fort Wayne,1,0,1,0,0,0,0,1,0,0,1,0,"267,634"
447,Indiana,Cities,Greenfield,1,1,0,0,0,0,0,1,0,1,0,0,"22,292"
448,Indiana,Cities,Hammond,4,4,0,0,0,0,0,4,,1,2,1,"76,050"
449,Indiana,Cities,Indianapolis3,34,22,5,5,0,2,0,31,3,13,10,5,"877,584"
450,Indiana,Cities,Jasper,1,0,1,0,0,0,0,1,,,0,1,"15,583"
451,Indiana,Cities,Lafayette,5,5,0,0,0,0,0,5,1,,3,1,"72,904"
452,Indiana,Cities,Lawrence,5,3,0,1,0,0,1,5,0,2,1,2,"49,093"
453,Indiana,Cities,Plainfield,2,2,0,0,0,0,0,2,1,,,1,"33,668"
454,Indiana,Cities,South Bend3,24,18,2,3,1,0,0,23,4,6,7,6,"102,397"
455,Indiana,Cities,Terre Haute,10,6,3,1,0,0,0,10,3,3,2,2,"60,773"
456,Indiana,Universities and Colleges,"Indiana University, Bloomington",3,1,1,0,0,0,1,3,1,,2,,"53,254"
457,Indiana,Universities and Colleges,Purdue University,2,1,0,1,0,0,0,2,2,,,,"44,190"
458,Indiana,Metropolitan Counties,Madison,1,1,0,0,0,0,0,1,0,0,0,1,
459,Indiana,State Police Agencies,State Police: Clark County,1,0,1,0,0,0,0,1,0,1,0,0,
460,Indiana,State Police Agencies,State Police: Floyd County,1,0,1,0,0,0,0,1,0,0,0,1,
461,Indiana,State Police Agencies,State Police: Lake County,1,0,1,0,0,0,0,1,0,0,1,0,
462,Indiana,State Police Agencies,State Police: Marion County,1,1,0,0,0,0,0,1,0,0,1,0,
463,Indiana,State Police Agencies,State Police: Miami County,1,1,0,0,0,0,0,1,0,1,0,0,
464,Indiana,State Police Agencies,State Police: Monroe County,1,0,1,0,0,0,0,1,0,0,1,0,
465,Indiana,State Police Agencies,State Police: Orange County,1,0,1,0,0,0,0,1,0,0,0,1,
466,Indiana,State Police Agencies,State Police: Spencer County,1,1,0,0,0,0,0,1,0,1,0,0,
467,Indiana,State Police Agencies,State Police: St. Joseph County,1,0,1,0,0,0,0,1,0,1,0,0,
468,Iowa,Cities,Des Moines,1,0,1,0,0,0,0,1,0,1,0,0,"219,159"
469,Iowa,Cities,Dubuque,1,1,0,0,0,0,0,1,0,0,1,0,"58,362"
470,Iowa,Cities,Grinnell,1,1,0,0,0,0,0,1,0,0,1,0,"9,000"
471,Iowa,Cities,Le Mars,1,0,0,0,1,0,0,1,0,1,0,,"9,989"
472,Iowa,Cities,Mount Vernon,1,0,0,1,0,0,0,1,0,1,,,"4,426"
473,Iowa,Cities,Pella,1,0,0,1,0,0,0,1,0,0,1,0,"10,208"
474,Iowa,Cities,Pleasant Hill,1,0,0,0,1,0,0,1,1,0,0,0,"10,030"
475,Iowa,Universities and Colleges,University of Iowa,1,1,0,0,0,0,0,1,1,0,0,,"35,671"
476,Iowa,Metropolitan Counties,Dubuque,2,1,1,0,0,0,0,2,1,0,1,0,
477,Kansas,Cities,Bel Aire,1,0,1,0,0,0,0,1,0,0,0,1,"8,092"
478,Kansas,Cities,Burlington,1,0,0,1,0,0,0,1,1,0,0,0,"2,537"
479,Kansas,Cities,Chanute,1,1,0,0,0,0,0,1,1,0,,,"9,046"
480,Kansas,Cities,Dodge City,2,1,1,0,0,0,0,2,0,0,1,1,"27,756"
481,Kansas,Cities,Garden City,1,0,0,0,1,0,0,1,0,0,1,0,"26,902"
482,Kansas,Cities,Goodland,1,0,1,0,0,0,0,1,1,0,0,0,"4,400"
483,Kansas,Cities,Great Bend,2,1,0,1,0,0,0,2,0,0,1,1,"15,251"
484,Kansas,Cities,Hutchinson,5,4,0,0,1,0,0,5,1,2,1,1,"40,573"
485,Kansas,Cities,Iola,1,1,0,0,0,0,0,1,0,1,0,0,"5,306"
486,Kansas,Cities,Liberal,6,2,1,2,1,0,0,6,1,3,1,1,"19,725"
487,Kansas,Cities,Olathe,1,1,0,0,0,0,0,1,0,0,1,0,"139,154"
488,Kansas,Cities,Ottawa,2,1,0,1,0,0,0,2,1,1,0,0,"12,300"
489,Kansas,Cities,Overland Park,2,1,1,0,0,0,0,2,1,0,1,0,"193,877"
490,Kansas,Cities,Pittsburg,1,0,1,0,0,0,0,1,0,0,1,0,"20,210"
491,Kansas,Cities,Salina,4,2,0,1,1,0,0,4,1,0,2,1,"46,862"
492,Kansas,Cities,Shawnee,1,1,0,0,0,0,0,1,0,0,0,1,"65,983"
493,Kansas,Cities,St. Marys,1,0,1,0,0,0,0,1,0,0,0,1,"2,646"
494,Kansas,Cities,Topeka,3,2,1,0,0,0,0,3,0,0,3,0,"126,399"
495,Kansas,Cities,Valley Center,2,0,0,0,2,0,0,2,2,0,0,0,"7,370"
496,Kansas,Cities,Wellington,3,0,3,0,0,0,0,3,0,0,0,3,"7,775"
497,Kansas,Cities,Wichita,3,1,2,0,0,0,0,3,1,0,1,1,"391,726"
498,Kansas,Cities,Winfield,3,0,3,0,0,0,0,3,0,0,0,3,"12,072"
499,Kansas,Universities and Colleges,Kansas State University,1,1,0,0,0,0,0,1,0,0,1,0,"25,775"
500,Kansas,Universities and Colleges,University of Kansas: Main Campus,1,0,0,1,0,0,0,1,0,0,0,1,"31,201"
501,Kansas,Universities and Colleges,University of Kansas: Medical Center,2,1,0,1,0,0,0,2,1,0,1,0,
502,Kansas,Metropolitan Counties,Jefferson,3,2,1,0,0,0,0,3,2,0,0,1,
503,Kansas,Metropolitan Counties,Johnson,1,1,0,0,0,0,0,1,0,0,1,0,
504,Kansas,Metropolitan Counties,Riley County Police Department,2,2,0,0,0,0,0,2,0,0,1,1,
505,Kansas,Metropolitan Counties,Sedgwick,2,1,1,0,0,0,0,2,1,1,0,0,
506,Kansas,Metropolitan Counties,Wyandotte,1,1,0,0,0,0,0,1,1,0,0,0,
507,Kansas,Nonmetropolitan Counties,Crawford,2,2,0,0,0,0,0,2,0,1,1,0,
508,Kansas,Nonmetropolitan Counties,Dickinson,1,1,0,0,0,0,0,1,0,1,0,0,
509,Kansas,Nonmetropolitan Counties,Franklin,1,1,0,0,0,0,0,1,1,0,0,0,
510,Kansas,Nonmetropolitan Counties,Montgomery,1,1,0,0,0,0,0,1,1,0,0,0,
511,Kansas,Nonmetropolitan Counties,Pratt,1,1,0,0,0,0,0,1,0,0,1,0,
512,Kansas,Nonmetropolitan Counties,Saline,1,0,0,1,0,0,0,1,1,0,0,0,
513,Kansas,State Police Agencies,"Highway Patrol, Troop E",1,1,0,0,0,0,0,1,0,1,0,0,
514,Kansas,Tribal Agencies,Potawatomi Tribal,1,0,0,0,1,0,0,1,0,1,0,0,
515,Kentucky,Cities,Ashland,3,2,0,1,0,0,0,3,0,1,1,1,"20,525"
516,Kentucky,Cities,Berea,1,1,0,0,0,0,0,1,1,0,0,0,"15,893"
517,Kentucky,Cities,Bowling Green,12,8,2,0,0,2,0,12,6,3,1,2,"68,268"
518,Kentucky,Cities,Cadiz,1,0,0,0,0,1,0,1,0,0,0,1,"2,637"
519,Kentucky,Cities,Calvert City,1,1,0,0,0,0,0,1,0,0,0,1,"2,513"
520,Kentucky,Cities,Campbellsville,2,2,0,0,0,0,0,2,1,0,1,0,"11,503"
521,Kentucky,Cities,Columbia,1,1,0,0,0,0,0,1,0,1,0,0,"4,927"
522,Kentucky,Cities,Corbin,1,1,0,0,0,0,0,1,1,0,0,0,"5,517"
523,Kentucky,Cities,Covington,7,4,1,1,0,0,1,7,1,1,3,2,"40,448"
524,Kentucky,Cities,Cynthiana,2,1,0,0,1,0,0,2,1,0,0,1,"6,362"
